CC_Pop,avg_nuclei,rerun16,Sample_ID,HEXTag,DECTag,DPH,Sex,FLeng_mm,TLeng_mm,mass_g,K,SGR,DNA_pg,Celltype,Smear_Pop,Smr_samp,Diam_um,avg_volume_um3,avg_volume_uL,avg_surface_um2,SAVratio,Event_,n_CC,avg_allTLmm,allTL_sd,allTL_max,allTL_min,avg_allFLmm,allFL_sd,allFL_max,allFL_min,avg_allg,allg_sd,allg_max,allg_min,avg_allk,allK_sd,allK_max,allK_min,avg_allsgr,allsgr_sd,allsgr_max,allsgr_min,avg_allploidy,allploid_sd,allploid_max,allploid_min,avg_8ploidy,max_ploid,min_ploid,sd_ploid,avg_NDiam,sd_NDiam,min_NDiam,max_NDiam,avg_CDiam,sd_CDiam,min_CDiam,max_CDiam,avg_SCDiam,sd_SCDiam,min_SCDiam,max_SCDiam,avg_SNDiam,sd_SNDiam,min_SNDiam,max_SNDiam,n_smear,avg_Nvol_um3,sd_Nvol_um3,min_Nvol_um3,max_Nvol_um3,avg_Cvol_um3,sd_Cvol_um3,min_Cvol_um3,max_Cvol_um3,avg_Nvol_uL,sd_Nvol_uL,min_Nvol_uL,max_Nvol_uL,avg_Cvol_uL,sd_Cvol_uL,min_Cvol_uL,max_Cvol_uL,avg_Nsurf_um2,sd_Nsurf_um2,min_Nsurf_um2,max_Nsurf_um2,avg_Csurf_um2,sd_Csurf_um2,min_Csurf_um2,max_Csurf_um2,avg_CSAV,sd_CSAV,min_CSAV,max_CSAV,avg_NSAV,sd_NSAV,min_NSAV,max_NSAV
PDB,49.0158,,F171,,,,,655,735,2400,0.604434471,,,avg_cell,BR,BR101,30.63995,7025.495576,7.0255E-06,503.5853399,0.071679689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,F172,,,,,681,740,2400,0.592265019,,,avg_cell,BR,BR111,29.66753,6965.124785,6.96512E-06,493.3961042,0.070838085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,F173,,,,,1120,1245,15422,0.799157987,,,avg_cell,BR,BR117,30.60963,7918.644306,7.91864E-06,534.3736415,0.067482971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79893333,,F174,,,,,955,1064,6700,0.55622425,,,avg_cell,BR,BR128,28.84303,6375.998149,6.376E-06,465.4629334,0.073002363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.18916667,,F175,,,,,777,870,3400,0.516322629,,,avg_nuclei,BR,BR4,12.41075,570.4077864,5.70408E-07,91.32344931,0.160102038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.18916667,,F176,,,,,790,887,3400,0.487200873,,,avg_nuclei,BR,BR12,13.54693,678.7924489,6.78792E-07,104.0829313,0.153335429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,Gar177,,,,,950,1061,6500,0.544210861,,,avg_nuclei,BR,BR13,13.31511,640.753099,6.40753E-07,100.2555231,0.15646514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,Gar178,,,,,1240,1352,16783,0.679109053,,,avg_nuclei,BR,BR63,13.83998,619.752071,6.19752E-07,100.5234291,0.162199424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.0158,,Gar179,,,,,1081,1200,10659,0.616840278,,,avg_nuclei,BR,BR70,13.90682,755.7272977,7.55727E-07,111.2722941,0.147238686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,Gar180,,,,,772,872,4100,0.618350052,,,avg_nuclei,BR,BR72,13.5665,631.8100592,6.3181E-07,100.4888203,0.159049098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
